"dtmnfr","total","pt","private_vehicle","active","pt_share","private_vehicle_share","active_share"
"110501",24244,4466,16857,2820,0.18,0.7,0.12
"110506",34563,5630,24963,3847,0.16,0.72,0.11
"110507",24667,4744,16098,3713,0.19,0.65,0.15
"110508",31330,5638,21000,4524,0.18,0.67,0.14
"110601",6845,2065,3607,1144,0.3,0.53,0.17
"110602",7060,2083,3373,1537,0.3,0.48,0.22
"110607",5706,2198,2534,936,0.39,0.44,0.16
"110608",17573,5244,9283,2969,0.3,0.53,0.17
"110610",7395,2184,3482,1670,0.3,0.47,0.23
"110611",9758,2464,5490,1757,0.25,0.56,0.18
"110618",27358,6206,16955,4066,0.23,0.62,0.15
"110621",17122,6835,7404,2818,0.4,0.43,0.16
"110633",16224,4888,8316,2940,0.3,0.51,0.18
"110639",18657,4595,10871,3107,0.25,0.58,0.17
"110654",18291,3809,9745,4626,0.21,0.53,0.25
"110655",11508,2809,5578,3051,0.24,0.48,0.27
"110656",16729,5445,5364,5764,0.33,0.32,0.34
"110657",12666,2391,6457,3697,0.19,0.51,0.29
"110658",8982,1527,6230,1155,0.17,0.69,0.13
"110659",11557,2603,4742,4051,0.23,0.41,0.35
"110660",10694,2408,5138,2979,0.23,0.48,0.28
"110661",4619,1375,1502,1641,0.3,0.33,0.36
"110662",13671,2834,8475,2288,0.21,0.62,0.17
"110663",14061,4714,5605,3622,0.34,0.4,0.26
"110664",12599,4816,6260,1482,0.38,0.5,0.12
"110665",4539,1588,1091,1764,0.35,0.24,0.39
"110666",5749,1349,2350,1987,0.23,0.41,0.35
"110667",6681,2227,2482,1850,0.33,0.37,0.28
"110702",2612,595,1644,368,0.23,0.63,0.14
"110705",1510,338,1017,153,0.22,0.67,0.1
"110707",17958,3524,11878,2505,0.2,0.66,0.14
"110708",1730,350,1209,168,0.2,0.7,0.1
"110726",10182,2859,5369,1921,0.28,0.53,0.19
"110727",13924,3984,7654,2215,0.29,0.55,0.16
"110728",24431,5770,15392,3223,0.24,0.63,0.13
"110729",4660,1163,2933,551,0.25,0.63,0.12
"110730",16888,4908,9534,2387,0.29,0.56,0.14
"110731",17382,6388,7924,3008,0.37,0.46,0.17
"110902",1587,257,1232,93,0.16,0.78,0.06
"110904",2706,588,1830,277,0.22,0.68,0.1
"110906",6744,1076,4478,1169,0.16,0.66,0.17
"110909",13009,1850,9022,2102,0.14,0.69,0.16
"110911",4921,993,3611,300,0.2,0.73,0.06
"110913",2313,393,1726,187,0.17,0.75,0.08
"110918",2343,414,1691,223,0.18,0.72,0.1
"110919",2261,401,1664,184,0.18,0.74,0.08
"110920",2699,399,2132,162,0.15,0.79,0.06
"110921",6124,983,4356,771,0.16,0.71,0.13
"110922",6779,991,5024,747,0.15,0.74,0.11
"111002",8636,1696,6205,716,0.2,0.72,0.08
"111009",8336,1808,5742,751,0.22,0.69,0.09
"111012",26168,5106,16509,4403,0.2,0.63,0.17
"111013",20760,3802,13989,2903,0.18,0.67,0.14
"111014",30559,6055,19506,4863,0.2,0.64,0.16
"111102",40695,10050,24188,6308,0.25,0.59,0.16
"111105",3908,579,2886,434,0.15,0.74,0.11
"111108",29633,7710,17036,4780,0.26,0.57,0.16
"111115",7872,2143,4361,1311,0.27,0.55,0.17
"111122",22527,7999,10484,3934,0.36,0.47,0.17
"111124",24427,7024,13275,4014,0.29,0.54,0.16
"111125",27108,8388,13803,4805,0.31,0.51,0.18
"111128",16756,2578,12373,1752,0.15,0.74,0.1
"111408",13394,3274,8192,1890,0.24,0.61,0.14
"111409",10201,2720,5282,2164,0.27,0.52,0.21
"111412",6959,1702,4230,1007,0.24,0.61,0.14
"111413",21515,4969,12363,4121,0.23,0.57,0.19
"111414",4524,1062,2597,853,0.23,0.57,0.19
"111415",25694,6303,15130,4194,0.25,0.59,0.16
"111512",9750,1868,6450,1404,0.19,0.66,0.14
"111513",19612,6612,9071,3859,0.34,0.46,0.2
"111514",14316,5161,6115,2990,0.36,0.43,0.21
"111515",10103,3464,4626,1974,0.34,0.46,0.2
