"grid_id","freg_id","nuts_id","mun_id"
1,"110909","PT1B","1109"
2,"110708","PT1B","1107"
3,"111409","PT1B","1114"
4,"111409","PT1B","1114"
5,"111132","PT1B","1111"
6,"110909","PT1B","1109"
7,"111608","PT1B","1116"
8,"110639","PT1B","1106"
9,"110508","PT1B","1105"
10,"110506","PT1B","1105"
11,"110919","PT1B","1109"
12,"111129","PT1B","1111"
13,"110707","PT1B","1107"
14,"111122","PT1B","1111"
15,"111129","PT1B","1111"
16,"110922","PT1B","1109"
17,"111408","PT1B","1114"
18,"111128","PT1B","1111"
19,"111409","PT1B","1114"
20,"111414","PT1B","1114"
21,"111134","PT1B","1111"
22,"110729","PT1B","1107"
23,"111014","PT1B","1110"
24,"110508","PT1B","1105"
25,"111409","PT1B","1114"
26,"110729","PT1B","1107"
27,"111128","PT1B","1111"
28,"110913","PT1B","1109"
29,"110621","PT1B","1106"
30,"111134","PT1B","1111"
31,"110911","PT1B","1109"
32,"110913","PT1B","1109"
33,"110602","PT1B","1106"
34,"111134","PT1B","1111"
35,"111128","PT1B","1111"
36,"110707","PT1B","1107"
37,"110904","PT1B","1109"
38,"111128","PT1B","1111"
39,"111409","PT1B","1114"
40,"111129","PT1B","1111"
41,"110909","PT1B","1109"
42,"111608","PT1B","1116"
43,"110639","PT1B","1106"
44,"110918","PT1B","1109"
45,"111129","PT1B","1111"
46,"110729","PT1B","1107"
47,"111124","PT1B","1111"
48,"111105","PT1B","1111"
49,"111129","PT1B","1111"
50,"110708","PT1B","1107"
51,"111413","PT1B","1114"
52,"111105","PT1B","1111"
53,"110921","PT1B","1109"
54,"111516","PT1B","1115"
55,"111412","PT1B","1114"
56,"111409","PT1B","1114"
57,"111135","PT1B","1111"
58,"110906","PT1B","1109"
59,"110707","PT1B","1107"
60,"111013","PT1B","1110"
61,"110508","PT1B","1105"
62,"110501","PT1B","1105"
63,"111105","PT1B","1111"
64,"111409","PT1B","1114"
65,"111102","PT1B","1111"
66,"110633","PT1B","1106"
67,"111409","PT1B","1114"
68,"111409","PT1B","1114"
69,"110913","PT1B","1109"
70,"111409","PT1B","1114"
71,"110610","PT1B","1106"
72,"111134","PT1B","1111"
73,"111128","PT1B","1111"
74,"110707","PT1B","1107"
75,"111135","PT1B","1111"
76,"110621","PT1B","1106"
